"Code","Ean","Name","Price","Jaunā cena","SKU","","","","","",
"73096","4044617186593","AMF Piekaramo griestu iekares komplekts 300-600mm","0.3","","136833","","","","","",""
"60222","7340021700323","BEWi 250 (ex.Dow Styrofoam) Ekstrudētais putuplasts ar pusspundi 100x585x1185mm, 2.77m2","27.17","","126760","","","","","",""
"60220","7340021700262","BEWi 250 (ex.Dow Styrofoam) Ekstrudētais putuplasts ar pusspundi 50x585x1185mm, 5.55m2","28.84","","126757","","","","","",""
"60229","6416923601707","BEWi 250 (ex.Dow Styrofoam) Ekstrudētais putuplasts ar pusspundi 70x585x1185mm, 4.16m2","28.53","","142821","","","","","",""
