CODE;TITLE;EAN;"SRP (EUR)";SHORTDESCRIPTION;DESCRIPTION;WEIGHT;BRAND;MODEL;MODELSPEC;TECHNICALDATA;CATEGORIES;IMAGES;MANUALS
"SD800.1-2 EVO5";"SounDigital 800.1 EVO5 2 Ohm";3191222803490;"199.00 EUR";"1 Channel amplifier";"The 800.1 EVO 5 is a compact, modern amplifier that delivers 800W RMS of power distributed over 1 channel.&lt;br&gt;
&lt;br&gt;
The amplifier features exclusive and patented technologies that make the sound experience cleaner and more faithful, in addition to ensuring better performance and efficiency for the most daring projects.";0.7;SounDigital;;;"Power @ 2Ω: 800W<br>
Power @ 4Ω: 528W<br>
Power @ 8Ω: 348W<br>
<br>
Frequency Response: 10Hz ~ 20kHz<br>
<br>
Subsonic Filter (HP 12dB/8º): 10Hz ~ 80Hz<br>
<br>
Low Pass Filter (LP 12dB/8º): 50Hz ~ 20kHz<br>
<br>
Operating Voltage: 8V ~ 16V<br>
<br>
SNR: 2Ω: 96dB<br>
<br>
Input Sensitivity (RCA): 0.2V ~ 4V<br>
<br>
Input Sensitivity (High Level input): 1.5V ~ 15V<br>
<br>
Current Draw (Music): 2Ω: 40A<br>
<br>
Current Draw With Resistive Load (1kHz @ 12.6V): 2Ω: 81A<br>
<br>
Total Efficiency: 2Ω: 79%<br>
<br>
Damping Factor (@100Hz Rated Impedance): 200<br>
<br>
Power Cable: 10mm² (7AWG)<br>
<br>
Audio Output Cable: 2 x 2mm² (12 AWG)<br>
<br>
Recommended Fuse (Music): 40A<br>
<br>
Recommended Battery (Music): 60Ah<br>
<br>
Width: 4.4 in / 11,3 cm<br>
<br>
Length: 5.8 in / 14,8 cm<br>
<br>
Height: 2 in / 5,1 cm<br>
<br>
Weight: 1.54 lb / 0,7 Kg";"CAR STEREO/AMPLIFIERS AND ACCESSORIES/Amplifiers/1-channel,Campaigns 2023";https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0000_800.1-5.0-angulo-7-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0001_800.1-5.0-angulo-6-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0002_800.1-5.0-angulo-5-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0003_800.1-5.0-angulo-4-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0004_800.1-5.0-angulo-3-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0005_800.1-5.0-angulo-2-1.png,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3295/1_0006_800.1-5.0-angulo-1-1.png;
DEH-S220UI;"Pioneer DEH-S220UI";4988028433948;"125.00 EUR";"Pioneer 1-DIN CD Tuner with multi colour illumination";"Enjoy your music from traditional CDs or listen to the FM radio. For playback of MP3, WMA and WAV audio files, you can easily hook up your iPod, iPhone, Android smartphone or a USB stick to the illuminated front USB or to the Aux-In.&lt;br&gt;
&lt;br&gt;
 &lt;br&gt;
&lt;br&gt;
For smartphone users, simply connect your iPhone or Android* smartphone and safely enjoy Spotify (both for Free and Premium Spotify users) or the Pioneer Advanced Remote Control (ARC) app, which will take your smartphone to a whole new level. (*Android smartphones require Android 5.0 or later, up to 7.1.2, and the smartphone requires AOA (Android Open Accessory) 2.0.)&lt;br&gt;
&lt;br&gt;
 &lt;br&gt;
&lt;br&gt;
Get pristine sound from the DEH-S220UI′s on-board MOSFET 50 W x 4 amplifier, or utilising the 2 RCA connectors to connect other components, like speakers, subwoofers, amplifiers, for even more versatility.&lt;br&gt;
&lt;br&gt;
 &lt;br&gt;
&lt;br&gt;
The attractive, 1-DIN design offers plenty of room to display useful information. It also has a large Rotary Commander and easy to access preset buttons to select your favourite radio stations.";1.42;PIONEER;;CAR;"Main Features<br>
Advanced Remote Control App (Pioneer ARC)	<br>
Spotify	iPhone<br>
MIXTRAX	<br>
Multi colour illumination	<br>
Anti theft detachable panel	<br>
Plays	Via CD/-R/-RW:<br>
• MP3, WMA and WAV audio files<br>
<br>
Via USB:<br>
• MP3, WMA and WAV audio files<br>
<br>
• Other music devices via the front Aux-In<br>
Installation Type	1-DIN<br>
Accessories	Protective Case for Front Panel<br>
Menu Languages	English / Turkish / Russian<br>
Apple Compatibility<br>
Made for iPod / iPhone	<br>
Compatible Generations	• iPhone X / iPhone 8 / iPhone 8 Plus<br>
• iPhone 7 / iPhone 7 Plus / iPhone SE<br>
• iPhone 6s / iPhone 6s Plus / iPhone 6 / iPhone 6 Plus<br>
• iPhone 5s / iPhone 5c / iPhone 5<br>
Supported Functions	• Battery charging<br>
• Music playback<br>
Android Compatibility<br>
Compatible with Android	<br>
Quick Charge for Android	<br>
AOA 2.0	<br>
Connections<br>
USB Input	1<br>
CD Player	<br>
Aux-In	<br>
Hard Wired Remote Ready	<br>
Hand Held Remote Control	Optional CD-SR100 required, sold separately<br>
Audio<br>
5-band Graphical EQ	<br>
MOSFET 50 W x 4 Amplifier	<br>
High Pass Filter	<br>
Low Pass Filter	<br>
Direct Sub Drive	<br>
Subwoofer Control	<br>
RCA Pre-Outs	2. (Front, rear or subwoofer)<br>
Tuner Features<br>
Radio Data System (RDS)	<br>
PTY Search	<br>
Best Stations Memory (BSM)	<br>
Traffic Announcement	<br>
Auto Alternative Frequency Search	<br>
Screen Features<br>
Displays Cyrillic Characters	<br>
Illumination Line	<br>
Illumination Timer	<br>
Brightness Control	10 steps<br>
Display Illumination	Wide angle VA LCD Display (1 line)";"CAR STEREO/HEAD UNITS AND ACCESSORIES/Head units/1DIN";https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3294/deh-s220ui_2.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3294/deh-s220ui.jpg;
Z-12000;"DD Audio Z12000";7820218114334;"3490.00 EUR";"Z SERIES MONOBLOCK";"The Z12000 monoblock subwoofer amplifier is the latest offering in the legendary Z series of top-of-the-line powerhouse amplifiers. This amplifier can deliver well above 12,000 watts of continuous, unbridled power. Engineered for performance, it incorporates state-of-the-art circuit optimization for a high-current, half-bridge amp with a surprisingly small footprint that allows for 2 wide installation in many of todays popular SPL/DEMO vehicles.&lt;br&gt;
&lt;br&gt;
The Z12’s chassis features DD Audio’s exclusive High Volume Air Circulation (HVAC) heat management system. The mass of the heavy-duty extruded aluminum heatsink coupled with intelligent fin design constantly transfers heat to the outside air while an internal brushless fan pulls in cooler air through an elevated bottom panel and end panel vents to maximize air flow over hard working internal components.&lt;br&gt;
&lt;br&gt;
Its also ready to connect to the DD Audio ZVL module, giving it the flexibility to easily integrate into multi amp systems to drive the most punishing of subwoofer stages.";18;"DD Audio";Amplifiers;;"Operating Voltage:	9 - 16<br>
Test Voltage:	14.4<br>
Output Channel(s):	1<br>
Continuous Wattage @4ohm:	4000<br>
Continuous Wattage @2ohm:	7000<br>
Continuous Wattage @1ohm:	12000<br>
Dynamic Wattage:	14000<br>
Max Current Draw (Amps):	1200<br>
RCA Input Voltage Sensitivity:	8 - 0.2<br>
RCA Input S/N:	 92dB<br>
Damping Factor:	 200<br>
Frequency Response (Hz):	10 - 200<br>
Sub-Sonic Filter:	10Hz - 50Hz<br>
Low-Pass Filter:	20Hz - 200Hz<br>
ZVL Input:	Yes<br>
Power Wire Gauge:	4x0<br>
Speaker Wire Gauge:	4x8<br>
Dimensions (Inches):	27″ x 12″ x 3.125″<br>
Dimensions (MM):	686 x 305 x 83<br>
Shipping Weight (Lbs):	40";"CAR STEREO/AMPLIFIERS AND ACCESSORIES/Amplifiers/1-channel";https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3293/Z12000-3qtr-right.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3293/Z12000-control-panel.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3293/Z12000-power-panel.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3293/Z12000-top-panel.jpg;
HDX418-D1-A;"SoundQubed HDX418-D1-A";9350189093225;"699.00 EUR";"Soundqubed HDX418 dual 1.0 Aluminum coil";"&lt;p&gt;HDX subwoofers build upon the design of the HDC line in response to recent shifts in source material and the mainstream frequency tuning of our customers’ vehicles. Our team scrutinized all aspects of the HDC subs to improve performance at lower frequencies. The resulting HDX dual voice coil competition subwoofer line is more efficient, plays lower, and sounds better setting a new bar for performance and value.&lt;/p&gt;";;SOUNDQUBED;;;"<p>Size: 18″<br>RMS Power 2000 W <br>Peak Power 6000 W <br>Magnet Weight 403 oz <br>Coil Diameter 4″<br>F(s) 22.8 Hz <br>Z(max) 19.3 Ohms<br>Q(ms)4.568<br>Q(es)0.4852<br>Q(ts) 0.4386<br>V(as) 163.3 Liters<br>L(e) 2.477<br>n(0) 0.384%<br>M(ms) 616.8 grams<br>C(ms) 0.078<br>Sensitivity (1W/1m)87.95dB<br>BL 18.4<br>Xmax 31<br>Sd 393.7 mm<br>Displacement 0.32³<br>Mounting Depth 11 5/8″<br>Circle Cutout 16 9/16″<br>Ported Enclosure (Cu Ft): 5-7 FT³</p>";"CAR STEREO/SUBWOOFERS AND ACCESSORIES/Subwoofers/18″ Subwoofers,Campaigns 2023";https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3292/HDX18-3qtr-back-right-2019.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3292/hdx418-3qtr-right-2019-720x481.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3292/HDX418-front-2019.jpg;
"GZPK 10X-II";"Ground Zero GZPK 10X-II Cable Kit 10mm2";4037072021219;"44.90 EUR";"Ground Zero Cable Kit 10mm2";"&lt;p&gt;High-quality 10 mm² / 7AWG CCA power wire installation kit including signal cable&lt;br&gt;&lt;br&gt;High-quality 10 mm² / 7 AWG CCA wiring kit&lt;br&gt;Mini-ANL fuse holder incl. 60A fuse&lt;br&gt;5.2 m / 17 ft power wire 10 mm² / 7 AWG (yellow)&lt;br&gt;0.8 m / 2.6 ft power wire 10 mm² / 7 AWG (black)&lt;br&gt;5 m / 16.4 ft triple shielded RCA signal cable incl. remote wire&lt;br&gt;Crimping cable lugs&lt;/p&gt;";0.97;"Ground zero";Powerkits;;"<p>High-quality 10 mm² / 7AWG CCA power wire installation kit including signal cable<br><br>High-quality 10 mm² / 7 AWG CCA wiring kit<br>Mini-ANL fuse holder incl. 60A fuse<br>5.2 m / 17 ft power wire 10 mm² / 7 AWG (yellow)<br>0.8 m / 2.6 ft power wire 10 mm² / 7 AWG (black)<br>5 m / 16.4 ft triple shielded RCA signal cable incl. remote wire<br>Crimping cable lugs</p>";"CAR STEREO/POWER CABLES AND ACCESSORY/Power kits/0-25mm2";https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3290/GZPK-10X-II-2.jpg,https://www.digisound.ee/assets/ProductCatalog/4/SilverShop_Page_Product-3290/GZPK-10X-II-Content.jpg;
